"ENSEMBL","SYMBOL","GENENAME","ENTREZID","CHR"
"ENSMUSG00000027460","Angpt4","angiopoietin 4","11602","2"
"ENSMUSG00000041936","Agrn","agrin","11603","4"
"ENSMUSG00000005705","Agrp","agouti related neuropeptide","11604","8"
"ENSMUSG00000031266","Gla","galactosidase, alpha","11605","X"
"ENSMUSG00000031980","Agt","angiotensinogen","11606","8"
"ENSMUSG00000049115","Agtr1a","angiotensin II receptor, type 1a","11607","13"
"ENSMUSG00000054988","Agtr1b","angiotensin II receptor, type 1b","11608","3"
"ENSMUSG00000068122","Agtr2","angiotensin II receptor, type 2","11609","X"
"ENSMUSG00000029007","Agtrap","angiotensin II, type I receptor-associated protein","11610","4"
"ENSMUSG00000026272","Agxt","alanine-glyoxylate aminotransferase","11611","1"
"ENSMUSG00000025056","Nr0b1","nuclear receptor subfamily 0, group B, member 1","11614","X"
"ENSMUSG00000048087","Ahcyl","adenosylhomocysteinase like","11615","16"
"ENSMUSG00000019256","Ahr","aryl-hydrocarbon receptor","11622","12"
"ENSMUSG00000021575","Ahrr","aryl-hydrocarbon receptor repressor","11624","13"
"ENSMUSG00000022868","Ahsg","alpha-2-HS-glycoprotein","11625","16"
"ENSMUSG00000040627","Aicda","activation-induced cytidine deaminase","11628","6"
"ENSMUSG00000024397","Aif1","allograft inflammatory factor 1","11629","17"
"ENSMUSG00000019866","Crybg1","crystallin beta-gamma domain containing 1","11630","10"
"ENSMUSG00000024847","Aip","aryl-hydrocarbon receptor-interacting protein","11632","19"
"ENSMUSG00000000731","Aire","autoimmune regulator","11634","10"
"ENSMUSG00000026817","Ak1","adenylate kinase 1","11636","2"
"ENSMUSG00000028792","Ak2","adenylate kinase 2","11637","4"
"ENSMUSG00000028527","Ak4","adenylate kinase 4","11639","4"
"ENSMUSG00000018428","Akap1","A kinase anchor protein 1","11640","11"
"ENSMUSG00000030344","Akap3","A kinase anchor protein 3","11642","6"
"ENSMUSG00000050089","Akap4","A kinase anchor protein 4","11643","X"
"ENSMUSG00000028766","Alpl","alkaline phosphatase, liver/bone/kidney","11647","4"
"ENSMUSG00000036500","Akp3","alkaline phosphatase 3, intestine, not Mn requiring","11648","1"
"ENSMUSG00000026246","Alppl2","alkaline phosphatase, placental-like 2","11650","1"
"ENSMUSG00000001729","Akt1","thymoma viral proto-oncogene 1","11651","12"
"ENSMUSG00000004056","Akt2","thymoma viral proto-oncogene 2","11652","7"
"ENSMUSG00000032786","Alas1","aminolevulinic acid synthase 1","11655","9"
"ENSMUSG00000025270","Alas2","aminolevulinic acid synthase 2, erythroid","11656","X"
"ENSMUSG00000029368","Alb","albumin","11657","5"
"ENSMUSG00000022636","Alcam","activated leukocyte cell adhesion molecule","11658","16"
"ENSMUSG00000031378","Abcd1","ATP-binding cassette, sub-family D member 1","11666","X"
"ENSMUSG00000053279","Aldh1a1","aldehyde dehydrogenase family 1, subfamily A1","11668","19"
"ENSMUSG00000029455","Aldh2","aldehyde dehydrogenase 2, mitochondrial","11669","5"
"ENSMUSG00000019102","Aldh3a1","aldehyde dehydrogenase family 3, subfamily A1","11670","11"
"ENSMUSG00000010025","Aldh3a2","aldehyde dehydrogenase family 3, subfamily A2","11671","11"
"ENSMUSG00000030695","Aldoa","aldolase A, fructose-bisphosphate","11674","7"
"ENSMUSG00000017390","Aldoc","aldolase C, fructose-bisphosphate","11676","11"
"ENSMUSG00000001642","Akr1b1","aldo-keto reductase family 1 member B","11677","6"
"ENSMUSG00000055471","Alk","anaplastic lymphoma kinase","11682","17"
"ENSMUSG00000000320","Alox12","arachidonate 12-lipoxygenase","11684","11"
"ENSMUSG00000018907","Alox12e","arachidonate lipoxygenase, epidermal","11685","11"
"ENSMUSG00000032807","Alox12b","arachidonate 12-lipoxygenase, 12R type","11686","11"
"ENSMUSG00000018924","Alox15","arachidonate 15-lipoxygenase","11687","11"
"ENSMUSG00000020891","Alox8","arachidonate 8-lipoxygenase","11688","11"
"ENSMUSG00000025701","Alox5","arachidonate 5-lipoxygenase","11689","6"
"ENSMUSG00000060063","Alox5ap","arachidonate 5-lipoxygenase activating protein","11690","5"
"ENSMUSG00000040888","Gfer","growth factor, augmenter of liver regeneration","11692","17"
"ENSMUSG00000014603","Alx3","aristaless-like homeobox 3","11694","3"
"ENSMUSG00000040310","Alx4","aristaless-like homeobox 4","11695","2"
"ENSMUSG00000029288","Ambn","ameloblastin","11698","5"
"ENSMUSG00000028356","Ambp","alpha 1 microglobulin/bikunin precursor","11699","4"
"ENSMUSG00000075232","Amd1","S-adenosylmethionine decarboxylase 1","11702","10"
"ENSMUSG00000031354","Amelx","amelogenin, X-linked","11704","X"
"ENSMUSG00000035262","Amh","anti-Mullerian hormone","11705","10"
"ENSMUSG00000005686","Ampd3","adenosine monophosphate deaminase 3","11717","7"
"ENSMUSG00000037798","Mat1a","methionine adenosyltransferase 1A","11720","14"
"ENSMUSG00000074264","Amy1","amylase 1, salivary","11722","3"
"ENSMUSG00000072115","Ang","angiogenin, ribonuclease, RNase A family, 5","11727","14"
"ENSMUSG00000053961","Ang3","angiogenin, ribonuclease A family, member 3","11730","14"
"ENSMUSG00000047894","Ang2","angiogenin, ribonuclease A family, member 2","11731","14"
"ENSMUSG00000022265","Ank","progressive ankylosis","11732","15"
"ENSMUSG00000031543","Ank1","ankyrin 1, erythroid","11733","8"
"ENSMUSG00000069601","Ank3","ankyrin 3, epithelial","11735","10"
"ENSMUSG00000020790","Ankfy1","ankyrin repeat and FYVE domain containing 1","11736","11"
"ENSMUSG00000032249","Anp32a","acidic nuclear phosphoprotein 32 family member A","11737","9"
"ENSMUSG00000031633","Slc25a4","solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4","11739","8"
"ENSMUSG00000016319","Slc25a5","solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5","11740","X"
"ENSMUSG00000021866","Anxa11","annexin A11","11744","14"
"ENSMUSG00000029484","Anxa3","annexin A3","11745","5"
"ENSMUSG00000029994","Anxa4","annexin A4","11746","6"
"ENSMUSG00000027712","Anxa5","annexin A5","11747","3"
"ENSMUSG00000018340","Anxa6","annexin A6","11749","11"
"ENSMUSG00000021814","Anxa7","annexin A7","11750","14"
"ENSMUSG00000021950","Anxa8","annexin A8","11752","14"
"ENSMUSG00000019326","Aoc3","amine oxidase, copper containing 3","11754","11"
"ENSMUSG00000024997","Prdx3","peroxiredoxin 3","11757","19"
"ENSMUSG00000026701","Prdx6","peroxiredoxin 6","11758","1"
"ENSMUSG00000063558","Aox1","aldehyde oxidase 1","11761","1"
"ENSMUSG00000009090","Ap1b1","adaptor protein complex AP-1, beta 1 subunit","11764","11"
"ENSMUSG00000031731","Ap1g1","adaptor protein complex AP-1, gamma 1 subunit","11765","8"
"ENSMUSG00000040701","Ap1g2","adaptor protein complex AP-1, gamma 2 subunit","11766","14"
"ENSMUSG00000003033","Ap1m1","adaptor-related protein complex AP-1, mu subunit 1","11767","8"
"ENSMUSG00000003309","Ap1m2","adaptor protein complex AP-1, mu 2 subunit","11768","9"
"ENSMUSG00000004849","Ap1s1","adaptor protein complex AP-1, sigma 1","11769","5"
"ENSMUSG00000062515","Fabp4","fatty acid binding protein 4, adipocyte","11770","3"
"ENSMUSG00000060279","Ap2a1","adaptor-related protein complex 2, alpha 1 subunit","11771","7"
"ENSMUSG00000002957","Ap2a2","adaptor-related protein complex 2, alpha 2 subunit","11772","7"
"ENSMUSG00000022841","Ap2m1","adaptor-related protein complex 2, mu 1 subunit","11773","16"
"ENSMUSG00000021686","Ap3b1","adaptor-related protein complex 3, beta 1 subunit","11774","13"
"ENSMUSG00000062444","Ap3b2","adaptor-related protein complex 3, beta 2 subunit","11775","7"
"ENSMUSG00000020198","Ap3d1","adaptor-related protein complex 3, delta 1 subunit","11776","10"
"ENSMUSG00000024480","Ap3s1","adaptor-related protein complex 3, sigma 1 subunit","11777","18"
"ENSMUSG00000063801","Ap3s2","adaptor-related protein complex 3, sigma 2 subunit","11778","7"
"ENSMUSG00000019518","Ap4m1","adaptor-related protein complex AP-4, mu 1","11781","5"
"ENSMUSG00000020955","Ap4s1","adaptor-related protein complex AP-4, sigma 1","11782","12"
"ENSMUSG00000019979","Apaf1","apoptotic peptidase activating factor 1","11783","10"
"ENSMUSG00000030519","Apba2","amyloid beta precursor protein binding family A member 2","11784","7"
"ENSMUSG00000037032","Apbb1","amyloid beta precursor protein binding family B member 1","11785","7"
"ENSMUSG00000029207","Apbb2","amyloid beta precursor protein binding family B member 2","11787","5"
"ENSMUSG00000005871","Apc","APC, WNT signaling pathway regulator","11789","18"
"ENSMUSG00000026207","Speg","SPEG complex locus","11790","1"
"ENSMUSG00000035960","Apex1","apurinic/apyrimidinic endonuclease 1","11792","14"
"ENSMUSG00000038160","Atg5","autophagy related 5","11793","10"
"ENSMUSG00000032000","Birc3","baculoviral IAP repeat-containing 3","11796","9"
"ENSMUSG00000057367","Birc2","baculoviral IAP repeat-containing 2","11797","9"
"ENSMUSG00000025860","Xiap","X-linked inhibitor of apoptosis","11798","X"
"ENSMUSG00000017716","Birc5","baculoviral IAP repeat-containing 5","11799","11"
"ENSMUSG00000027193","Api5","apoptosis inhibitor 5","11800","2"
"ENSMUSG00000015854","Cd5l","CD5 antigen-like","11801","3"
"ENSMUSG00000006651","Aplp1","amyloid beta precursor like protein 1","11803","7"
"ENSMUSG00000031996","Aplp2","amyloid beta precursor-like protein 2","11804","9"
"ENSMUSG00000032083","Apoa1","apolipoprotein A-I","11806","9"
"ENSMUSG00000005681","Apoa2","apolipoprotein A-II","11807","1"
"ENSMUSG00000032080","Apoa4","apolipoprotein A-IV","11808","9"
"ENSMUSG00000040613","Apobec1","apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1","11810","6"
"ENSMUSG00000040694","Apobec2","apolipoprotein B mRNA editing enzyme, catalytic polypeptide 2","11811","17"
"ENSMUSG00000040564","Apoc1","apolipoprotein C-I","11812","7"
"ENSMUSG00000002992","Apoc2","apolipoprotein C2","11813","7"
"ENSMUSG00000032081","Apoc3","apolipoprotein C-III","11814","9"
"ENSMUSG00000022548","Apod","apolipoprotein D","11815","16"
"ENSMUSG00000002985","Apoe","apolipoprotein E","11816","7"
"ENSMUSG00000000049","Apoh","apolipoprotein H","11818","11"
"ENSMUSG00000030551","Nr2f2","nuclear receptor subfamily 2, group F, member 2","11819","7"
"ENSMUSG00000022892","App","amyloid beta precursor protein","11820","16"
"ENSMUSG00000006589","Aprt","adenine phosphoribosyl transferase","11821","8"
"ENSMUSG00000004655","Aqp1","aquaporin 1","11826","6"
"ENSMUSG00000023013","Aqp2","aquaporin 2","11827","15"
"ENSMUSG00000028435","Aqp3","aquaporin 3","11828","4"
"ENSMUSG00000024411","Aqp4","aquaporin 4","11829","18"
"ENSMUSG00000044217","Aqp5","aquaporin 5","11830","15"
"ENSMUSG00000043144","Aqp6","aquaporin 6","11831","15"
"ENSMUSG00000028427","Aqp7","aquaporin 7","11832","4"
"ENSMUSG00000030762","Aqp8","aquaporin 8","11833","7"
"ENSMUSG00000040383","Aqr","aquarius","11834","2"
"ENSMUSG00000046532","Ar","androgen receptor","11835","X"
"ENSMUSG00000001127","Araf","Araf proto-oncogene, serine/threonine kinase","11836","X"
"ENSMUSG00000067274","Rplp0","ribosomal protein lateral stalk subunit P0","11837","5"
"ENSMUSG00000022602","Arc","activity regulated cytoskeletal-associated protein","11838","15"
"ENSMUSG00000029378","Areg","amphiregulin","11839","5"
"ENSMUSG00000048076","Arf1","ADP-ribosylation factor 1","11840","11"
"ENSMUSG00000062421","Arf2","ADP-ribosylation factor 2","11841","11"
"ENSMUSG00000051853","Arf3","ADP-ribosylation factor 3","11842","15"
"ENSMUSG00000021877","Arf4","ADP-ribosylation factor 4","11843","14"
"ENSMUSG00000020440","Arf5","ADP-ribosylation factor 5","11844","6"
"ENSMUSG00000044147","Arf6","ADP-ribosylation factor 6","11845","12"
"ENSMUSG00000019987","Arg1","arginase, liver","11846","10"
"ENSMUSG00000021125","Arg2","arginase type II","11847","12"
"ENSMUSG00000007815","Rhoa","ras homolog family member A","11848","9"
"ENSMUSG00000054364","Rhob","ras homolog family member B","11852","12"
"ENSMUSG00000002233","Rhoc","ras homolog family member C","11853","3"
"ENSMUSG00000041845","Rhod","ras homolog family member D","11854","19"
"ENSMUSG00000035133","Arhgap5","Rho GTPase activating protein 5","11855","12"
"ENSMUSG00000031355","Arhgap6","Rho GTPase activating protein 6","11856","X"
"ENSMUSG00000030220","Arhgdib","Rho, GDP dissociation inhibitor beta","11857","6"
"ENSMUSG00000001313","Rnd2","Rho family GTPase 2","11858","11"
"ENSMUSG00000007946","Phox2a","paired-like homeobox 2a","11859","7"
"ENSMUSG00000047446","Arl4a","ADP-ribosylation factor-like 4A","11861","12"
"ENSMUSG00000015522","Arnt","aryl hydrocarbon receptor nuclear translocator","11863","3"
"ENSMUSG00000015709","Arnt2","aryl hydrocarbon receptor nuclear translocator 2","11864","7"
"ENSMUSG00000055116","Bmal1","basic helix-loop-helix ARNT like 1","11865","7"
"ENSMUSG00000029622","Arpc1b","actin related protein 2/3 complex, subunit 1B","11867","5"
"ENSMUSG00000030996","Art1","ADP-ribosyltransferase 1","11870","7"
"ENSMUSG00000092517","Art2a","ADP-ribosyltransferase 2a","11871","7"
"ENSMUSG00000030651","Art2b","ADP-ribosyltransferase 2b","11872","7"
"ENSMUSG00000070424","Art5","ADP-ribosyltransferase 5","11875","7"
"ENSMUSG00000028539","Artn","artemin","11876","4"
"ENSMUSG00000118669","Arvcf","armadillo repeat gene deleted in velocardiofacial syndrome","11877","16"
"ENSMUSG00000035277","Arx","aristaless related homeobox","11878","X"
"ENSMUSG00000042082","Arsb","arylsulfatase B","11881","13"
"ENSMUSG00000022620","Arsa","arylsulfatase A","11883","15"
"ENSMUSG00000031591","Asah1","N-acylsphingosine amidohydrolase 1","11886","8"
"ENSMUSG00000020884","Asgr1","asialoglycoprotein receptor 1","11889","11"
"ENSMUSG00000040963","Asgr2","asialoglycoprotein receptor 2","11890","11"
"ENSMUSG00000032202","Rab27a","RAB27A, member RAS oncogene family","11891","9"
"ENSMUSG00000076441","Ass1","argininosuccinate synthetase 1","11898","2"
"ENSMUSG00000026587","Astn1","astrotactin 1","11899","1"
"ENSMUSG00000026715","Serpinc1","serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1","11905","1"
"ENSMUSG00000038872","Zfhx3","zinc finger homeobox 3","11906","8"
"ENSMUSG00000030850","Ate1","arginyltransferase 1","11907","7"
"ENSMUSG00000023027","Atf1","activating transcription factor 1","11908","15"
"ENSMUSG00000027104","Atf2","activating transcription factor 2","11909","2"
"ENSMUSG00000026628","Atf3","activating transcription factor 3","11910","1"
"ENSMUSG00000042406","Atf4","activating transcription factor 4","11911","15"
"ENSMUSG00000034218","Atm","ataxia telangiectasia mutated","11920","9"
"ENSMUSG00000073043","Atoh1","atonal bHLH transcription factor 1","11921","6"
"ENSMUSG00000037984","Neurod6","neurogenic differentiation 6","11922","6"
"ENSMUSG00000048015","Neurod4","neurogenic differentiation 4","11923","10"
"ENSMUSG00000027967","Neurog2","neurogenin 2","11924","3"
"ENSMUSG00000044312","Neurog3","neurogenin 3","11925","10"
"ENSMUSG00000018585","Atox1","antioxidant 1 copper chaperone","11927","11"
"ENSMUSG00000033161","Atp1a1","ATPase, Na+/K+ transporting, alpha 1 polypeptide","11928","3"
"ENSMUSG00000026576","Atp1b1","ATPase, Na+/K+ transporting, beta 1 polypeptide","11931","1"
"ENSMUSG00000041329","Atp1b2","ATPase, Na+/K+ transporting, beta 2 polypeptide","11932","11"
"ENSMUSG00000032412","Atp1b3","ATPase, Na+/K+ transporting, beta 3 polypeptide","11933","9"
"ENSMUSG00000059412","Fxyd2","FXYD domain-containing ion transport regulator 2","11936","9"
"ENSMUSG00000030730","Atp2a1","ATPase, Ca++ transporting, cardiac muscle, fast twitch 1","11937","7"
"ENSMUSG00000029467","Atp2a2","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2","11938","5"
"ENSMUSG00000030302","Atp2b2","ATPase, Ca++ transporting, plasma membrane 2","11941","6"
"ENSMUSG00000005553","Atp4a","ATPase, H+/K+ exchanging, gastric, alpha polypeptide","11944","7"
"ENSMUSG00000031449","Atp4b","ATPase, H+/K+ exchanging, beta polypeptide","11945","8"
"ENSMUSG00000025428","Atp5f1a","ATP synthase F1 subunit alpha","11946","18"
"ENSMUSG00000025393","Atp5f1b","ATP synthase F1 subunit beta","11947","10"
"ENSMUSG00000025781","Atp5f1c","ATP synthase F1 subunit gamma","11949","2"
"ENSMUSG00000000563","Atp5pb","ATP synthase peripheral stalk-membrane subunit b","11950","3"
"ENSMUSG00000006057","Atp5mc1","ATP synthase membrane subunit c locus 1","11951","11"
"ENSMUSG00000022890","Atp5pf","ATP synthase peripheral stalk subunit F6","11957","16"
"ENSMUSG00000050856","Atp5me","ATP synthase membrane subunit e","11958","5"
"ENSMUSG00000052459","Atp6v1a","ATPase, H+ transporting, lysosomal V1 subunit A","11964","16"
"ENSMUSG00000006273","Atp6v1b2","ATPase, H+ transporting, lysosomal V1 subunit B2","11966","8"
"ENSMUSG00000013160","Atp6v0d1","ATPase, H+ transporting, lysosomal V0 subunit D1","11972","8"
"ENSMUSG00000019210","Atp6v1e1","ATPase, H+ transporting, lysosomal V1 subunit E1","11973","6"
"ENSMUSG00000015575","Atp6v0e","ATPase, H+ transporting, lysosomal V0 subunit E","11974","17"
"ENSMUSG00000019302","Atp6v0a1","ATPase, H+ transporting, lysosomal V0 subunit A1","11975","11"
"ENSMUSG00000033792","Atp7a","ATPase, copper transporting, alpha polypeptide","11977","X"
"ENSMUSG00000006567","Atp7b","ATPase, copper transporting, beta polypeptide","11979","8"
"ENSMUSG00000037685","Atp8a1","ATPase phospholipid transporting 8A1","11980","5"
"ENSMUSG00000027546","Atp9a","ATPase, class II, type 9A","11981","2"
"ENSMUSG00000025324","Atp10a","ATPase, class V, type 10A","11982","7"
"ENSMUSG00000054428","Atp5if1","ATP synthase inhibitory factor subunit 1","11983","4"
